precio_texto,tipo_y_ciudad,titulo,habitaciones_texto,banos_texto,area_texto,url_aviso
$ 580.000.000,"Lote en Pereira, Risaralda","Lote en venta en tribunas corcega, pereira",2320 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-tribunas-corcega-pereira/194166422
$ 421.520.279,"Apartamento en Pereira, Risaralda",Apartamento en venta en pereira,0 Hab,53 m²,,https://www.fincaraiz.com.co/apartamento-en-venta-en-pereira/193861008
$ 1.100.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en cerritos, pereira",3 Habs.,3 Baños,126 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/193723257
$ 700.000.000,"Casa en Pereira, Risaralda","Casa en venta en los corales, pereira",4 Habs.,3 Baños,312 m²,https://www.fincaraiz.com.co/casa-en-venta-en-los-corales-pereira/193566880
$ 325.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en condina, pereira",3 Habs.,2 Baños,62 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-condina-pereira/194173049
$ 1.100.000.000,"Edificio en Pereira, Risaralda",Edificio en venta en la victoria,0 Hab,4 Baños,295 m²,https://www.fincaraiz.com.co/edificio-en-venta-en-la-victoria/193937440
$ 249.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en terminal, pereira",3 Habs.,2 Baños,64 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-terminal-pereira/193363208
$ 510.000.000,"Casa en Pereira, Risaralda","Casa en venta en galicia, pereira",3 Habs.,2 Baños,117 m²,https://www.fincaraiz.com.co/casa-en-venta-en-galicia-pereira/194198688
$ 410.000.000,"Lote en Pereira, Risaralda",Lote en venta en pereira,1538 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-pereira/193747669
$ 730.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en avenida sur, pereira",3 Habs.,2 Baños,118 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-avenida-sur-pereira/192499099
$ 1.200.000.000,"Finca en Pereira, Risaralda","Finca en  venta en la florida, pereira",3 Habs.,2 Baños,51200 m²,https://www.fincaraiz.com.co/finca-en-venta-en-la-florida-pereira/191898067
$ 750.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en cerritos, pereira",2 Habs.,2 Baños,103 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/192628055
$ 360.000.000,"Casa en Pereira, Risaralda","Casa en venta en centro, pereira",3 Habs.,1 Baño,93 m²,https://www.fincaraiz.com.co/casa-en-venta-en-centro-pereira/193625544
$ 340.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en cerritos, pereira",2 Habs.,2 Baños,54 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/194091722
$ 671.000.000,"Lote en Pereira, Risaralda","Lote en venta en cerritos, pereira",1766 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-cerritos-pereira/194159983
$ 1.250.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en  venta en condina, pereira",5 Habs.,5 Baños,1580 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-condina-pereira/191699901
$ 340.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en sector 30 de agosto, pereira",2 Habs.,2 Baños,68 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-sector-30-de-agosto-pereira/193927023
$ 4.500.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en  venta en cerritos, pereira",0 Hab,12300 m²,,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-cerritos-pereira/192196170
$ 500.000.000,"Finca en Pereira, Risaralda","Finca en venta en combia baja, pereira",8 Habs.,2 Baños,40000 m²,https://www.fincaraiz.com.co/finca-en-venta-en-combia-baja-pereira/193077242
$ 270.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en condina, pereira",2 Habs.,2 Baños,64 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-condina-pereira/192282499
$ 450.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en tribunas corcega, pereira",3 Habs.,3 Baños,1754 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-tribunas-corcega-pereira/192436675
$ 233.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en el poblado i etapa, pereira",2 Habs.,1 Baño,46 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-el-poblado-i-etapa-pereira/194183554
$ 500.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en la florida, pereira",4 Habs.,2 Baños,6700 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-la-florida-pereira/193637182
$ 800.000.000,"Finca en Pereira, Risaralda","Finca en venta en la florida, pereira",4 Habs.,2 Baños,560 m²,https://www.fincaraiz.com.co/finca-en-venta-en-la-florida-pereira/192386571
$ 250.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en los alamos, pereira",3 Habs.,2 Baños,69 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-los-alamos-pereira/194230991
